Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,24.78049573299169,6.71557669957911,-2.873921246187016e-06,0.003627054262170481,0,-0.002073832402526141,0,0,0,1325.77196733,0,0,0,-0.5045846276534174,-5.607049852181696e-07,-1.203814143459188,-0.1079000836066421,-1.193964296526478,0.1594880636097228,-0.5046911305956828,-5.607049838893714e-07,-33.33336877373907,0,0,0,1320.391190653657,-119.3248214477856,0,0,0,0,0,0,0, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3050179705024,4.3050000006514,-1.192708005548819e-15,-7.951386703658792e-15,7.951386703658792e-16,1,-1.040834085586084e-17,-6.938893903907228e-17,6.938893903907228e-18,-0.3384928366023935,0.6385607551370861,0.5834557258208176,0.3704621135480964,-0.3384928366023935,0.6385607551370861,0.5834557258208176,0.3704621135480964,0,0,29.593978,29.75952602518,-95.163839,-1636354.08174152,-18107108.71473717,10325659.96215431,-1636354.08174152,-18107108.71473717,10325659.96215431,0,4.3050000006514,0,0.003,0.999479828,1.5236864,34494357.8,87.3072309,3.49,-2.79618531,0,1,-0.523,0,2.08166817e-17,6.24500451e-16,0.348,0,6.24500451e-16,1.56125113e-15,4.59191508e-16,0,0,0,-1,-1.04083409e-15,0,7.95197241e-16,-7.95197241e-16,0,-7.95197241e-16,-1.38761919e-17,-2.88486317e-20,2.07878331e-17,0,0,0,-4.305,-0.0178630705,-0.00214279946,-0.00214279946,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,-0,-0,0,0,130,130,29.5939786618732334,-95.1638401102004394,20908474.4785842486,0.00362705426217048129
0.1,1.184246879673291,0.2125840067568265,4.549602540668956e-05,8.081123147606407,1.524011122978487,0.0002407466356442154,1.187874412084201,0.2125817876627978,-0.002027498701531412,9.871012077e-06,2840.096894,0.0911416055445,1325.86110755,-0.01599225961933638,0.0891289280523746,-0.01034766049592281,-0.1126372034118728,0.5921148663809788,0.2180980684506337,0.6106030118116605,0.1781157503986908,-0.2072981648853838,-0.1053663449227738,0.557944821863371,-31.90952449953159,-0.01599225961933638,0.0891289280523746,-0.01034766049592281,1320.479323944749,-119.3399827136505,-0.008798211510181689,0.08726285211706279,-0.024790691314569,-0.008798211510181696,-0.01599463546021665,0.08913994934816104,-0.01024857687381893, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3064981289208,4.3064801558664,0.0613203208435792,0.0132129408741813,7.71200931995264e-06,0.9999998501753161,0.0005351207116936084,0.0001153046803120262,5.598053747853578e-09,-0.3389017702875603,0.6383368121005305,0.5836148470485202,0.3702234659200065,-0.3389031201413522,0.6383346842029974,0.5836171744573623,0.3702222302622044,-147.09544448819,77.936624327522,29.593977997143,29.759526022302,-95.163838984666,-1636222.037895279,-18107120.64897301,10325659.96198027,-1636354.077057866,-18107108.71697232,10325659.96198027,0.00041780741322404,4.3064801558664,-6.5251255625343e-09,0.0030001346,0.999479774,1.5236864,34494357.8,87.3072309,3.49,-2.79618544,0,1,-0.523,0,-0.0010702415,-0.0340547604,0.348,0,-0.053529919,-0.133824798,-0.115312195,0,0,0,-1,0.384589709,0,7.7125774e-06,-7.7125774e-06,0,-7.7125774e-06,-1.34584476e-07,-1.84320079e-06,-0.0010720847,0,0,0,-4.30648016,-0.425910015,-0.05109086,-0.0613394369,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9208,0,0,-0,0,0,130,130,29.5939786588579103,-95.1638400940017135,20908474.480499994,1.18787441208420108
0.2,1.604087318213101,0.3926573070932075,-0.0002163806292158248,-0.1969393326221087,1.721693132327778,-0.00671788215992772,1.607715910610462,0.3926498643205003,-0.002287507200300062,1.838743792e-05,3876.26023,0.124393143349,1325.89232708,-0.02950741925339275,0.1203972084794382,0.01036718436111991,-0.1310585271816911,0.01034769286651375,0.1490969876069754,0.02426405403345401,0.1628611738295774,-0.1894586069890214,-0.1072392716815792,-0.1053263533665883,-31.9766535068891,-0.02950741925339275,0.1203972084794382,0.01036718436111991,1320.512329632008,-119.3216213830936,-0.03098035916230029,0.1193983131051866,-0.01605971002306579,-0.03098035916230028,-0.02949955614594342,0.1203591618766728,0.0108213886239917, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3064079321921,4.3063899560574,0.2057630195913054,0.04252314592522179,7.619762406299479e-05,0.9999983190213905,0.00179561975004946,0.000371085039595575,-1.378100446418176e-09,-0.3398553912945879,0.6378144032713818,0.5839943456353819,0.3696507868968706,-0.3398580868215999,0.6378101447004962,0.5839989966358323,0.3696483086224459,160.64150233404,75.438098017609,29.593977990948,29.759526016086,-95.163838950073,-1636089.987807442,-18107132.58203822,10325659.95997294,-1636354.066219652,-18107108.71899985,10325659.95997294,0.00083561482644808,4.3063899560574,3.2625627812702e-09,0.0030013299,0.999479777,1.5236864,34494357.8,87.3072309,3.49,-2.79618664,0,1,-0.523,0,-0.00359124217,-0.110530305,0.348,0,-0.138460692,-0.346151729,-0.324554934,0,0,0,-1,0.654378816,0,7.62032369e-05,-7.62032369e-05,0,-7.62032369e-05,-1.32974648e-06,-1.78262605e-06,-0.0035930248,0,0,0,-4.30638996,-0.795209701,-0.0953909192,-0.0845695305,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9203,0,0,-0,0,0,130,130,29.5939786523098647,-95.1638400573674801,20908474.4814264216,1.60771591061046148
0.3,1.388399021853568,0.5146993868104669,-0.001085672072443151,-5.738186110768176,0.5261011966593653,-0.01278668646048978,1.392029271181635,0.5146863804355067,-0.003153865512327026,1.522818979e-05,3527.576675,0.113203528337,1325.87692851,-0.03865711079340745,0.1050678679523934,0.01677527159367703,-0.04439433368621903,-0.5086576431865178,-0.02257145249911223,-0.5019233033167934,0.1004886614233134,-0.02711509565783116,0.005226935340750201,-0.710869030988219,-32.14854765146147,-0.03865711079340745,0.1050678679523934,0.01677527159367703,1320.497976817772,-119.3093499817421,-0.04221945414294215,0.1041753813885525,-0.01341813818749155,-0.04221945414294218,-0.03863062295019846,0.1049602618191312,0.0174944916283956,  2095.73487,-10.78165491, 13.55483338,-10.78165491, 1505.011877, 3.979907676, 13.55483338, 3.979907676, 3150.439293,77.08075527,2479.999997,45.48951612612142,4.227419359740296,35.42701610123618,4.3048609122634,4.3048429413442,0.3598785691586238,0.08839245218932498,0.0002487115197636262,0.9999947710291932,0.003140525198591739,0.0007713725980789541,-2.521015290960553e-07,-0.3409464515128514,0.6372084589256288,0.5843551778579192,0.3691204724545361,-0.3409504889958562,0.6372020671097733,0.584362147719004,0.3691167431013548,156.54154433915,68.14554440534,29.59397798139,29.759526006508,-95.163838913878,-1635957.937066741,-18107144.51353097,10325659.9561813,-1636354.054815588,-18107108.72041792,10325659.9561813,0.0012534222396721,4.3048429413442,0,0.00300434083,0.999479833,1.5236864,34494357.8,87.3072309,3.49,-2.79618965,1,0,-0.523,-0.523,-0.529281066,-0.174,0.348,0,-0.199208432,-0.498021081,-0.499249241,-0.499249241,-0.499249241,0,-1,0.742597513,0,0.00024872984,-0.00024872984,0,-0.00024872984,-4.34033571e-06,-1.82709587e-06,-0.00628289304,0,0,0,-4.30484294,-1.12927482,-0.135464365,-0.117969873,0,0,0,-0,0,0,0.002,-0.499249241,-0.174237985,-0.0785,0.130678489,0.0785,-0.157,0,0,0,0,124.454,0.22628,1.29953,29.8765,62.8659,0.00457905,-0.00284047,0.0262801,21.899,130,130,29.5939786421954985,-95.1638400189842883,20908474.4810267836,1.39202927118163511
0.4,0.5730196670691056,0.4961321221670879,-0.002613040198145523,-9.561026600313404,-0.9759902357911466,-0.0161121196363807,0.576651787903474,0.4961153578046555,-0.004677918077148344,3.905639758e-06,1786.481071,0.0573299952431,1325.81497769,-0.03724560346188828,0.04306550769738878,0.006697419211462075,0.06929874511568818,-0.715860321103842,-0.1592519338896191,-0.7127839802964107,0.05248374667291969,0.1415010130254549,0.1479193027063311,-0.9763232996263751,-32.28689662963454,-0.03724560346188828,0.04306550769738878,0.006697419211462075,1320.436401068946,-119.3024077863262,-0.03586146299365332,0.04172946691668327,-0.01610389447842997,-0.03586146299365332,-0.03722857943591807,0.04300951914384222,0.007137400841142751,  2095.73478,-10.78165484, 13.55483379,-10.78165484, 1505.011871, 3.979908366, 13.55483379, 3.979908366, 3150.439206,77.08075431,2479.999966,45.48951609473514,4.227419412591847,35.42701580152394,4.3035103455186,4.3034923845441,0.4643700256750906,0.1402795611786715,0.0004518185280957205,0.999991039788741,0.004052373993328671,0.001224175728533425,-1.017978355998586e-06,-0.3417913663514953,0.6367292285995908,0.5845380248202228,0.3688764683113042,-0.341796746094401,0.6367207034948773,0.5845473109635745,0.3688714835081755,169.80614313414,48.693244652295,29.593977970724,29.759525995815,-95.163838889931,-1635825.890143517,-18107156.44408133,10325659.95213509,-1636354.047316015,-18107108.72185651,10325659.95213509,0.0016712296528962,4.3034923845441,0,0.00300788572,0.999479882,1.5236864,34494357.8,87.307231,3.49,-2.79619319,1,0,-0.523,-0.523,-0.531104786,-0.174,0.348,0,-0.185381852,-0.46345463,-0.467477872,-0.467477872,-0.467477872,0,-1,0.598731845,0,0.00045185181,-0.00045185181,0,-0.00045185181,-7.88481408e-06,-2.04160199e-06,-0.0081068275,0,0,0,-4.30349239,-1.43139808,-0.17170617,-0.164568769,0,0,0,-0,0,0,0.002,-0.467477872,-0.163149777,-0.163149777,0.122362333,0.122362333,-0.28551211,0,0,0,0,344.077,0.625595,1.29953,29.6497,60.6108,0.00529799,-0.0085107,0.2161,57.0887,130,130,29.593978630892309,-95.1638399935488337,20908474.4805448502,0.576651787903473934
0.5,-0.3572880412356993,0.3600864569744752,-0.004148398849551742,-8.150725201247838,-1.37381736348481,-0.01524907222753449,-0.3536543411487877,0.3600692208495228,-0.006210492457725749,1.827159507e-06,1221.913766,0.0392124561678,1325.7452117,-0.02703183411598849,-0.02683479876124787,-0.009316127869291606,0.1051617595289945,-0.6228541185996463,-0.1065769790653198,-0.6148301651054273,0.107386302199947,0.1464118020135138,0.2082456915094028,-0.890974419347048,-32.23451393037423,-0.02703183411598849,-0.02683479876124787,-0.009316127869291606,1320.366946434985,-119.295820321619,-0.01880108389982115,-0.02859534186647293,-0.0191426849328773,-0.01880108389982115,-0.02706212506583562,-0.02675636607415449,-0.00945277631888578, 2095.734603, -10.7816547, 13.55483459, -10.7816547, 1505.011859, 3.979909712, 13.55483459, 3.979909712, 3150.439036,77.08075241,2479.999905,45.48951603297164,4.22741951659578,35.42701521173512,4.3036730997264,4.3036551337625,0.4780452762976638,0.1841283799276209,0.0004852891282237578,0.9999900074290585,0.004171707731933233,0.001606826231560339,-2.468309391298566e-06,-0.3420899411345736,0.636545572000494,0.5844530327697859,0.3690512964715174,-0.3420966689889644,0.6365349171479012,0.58446463708145,0.369045060012214,-160.98423410046,-43.184017558182,29.593977961822,29.759525986882,-95.16383888761,-1635693.850057167,-18107168.37404346,10325659.94939548,-1636354.046740336,-18107108.72366958,10325659.94939548,0.0020890370661202,4.3036551337625,0,0.00300846989,0.999479876,1.5236864,34494357.8,87.307231,3.49,-2.79619378,1,0,-0.523,-0.523,-0.531343464,-0.174,0.348,0,-0.168992934,-0.422482335,-0.426352901,-0.426352901,-0.426352901,0,-1,0.332052225,0,0.000485324875,-0.000485324875,0,-0.000485324875,-8.46891907e-06,-2.35907154e-06,-0.00834582312,0,0,0,-4.30365514,-1.70470975,-0.204491805,-0.213944582,0,0,0,-0,0,0,0.002,-0.426352901,-0.148797162,-0.148797162,0.111597872,0.111597872,-0.260395034,0,0,0,0,539.164,0.980299,1.29953,29.4236,58.4384,-0.00549944,-0.0122531,0.570804,90.8639,130,130,29.5939786214481799,-95.1638399910325177,20908474.4809849039,-0.353654341148787799
0.6,-0.9643856210001128,0.261220205052737,-0.005487131262917694,-3.26108740481891,-0.5657611435421739,-0.008408463305290194,-0.9607508132207124,0.261205430044862,-0.007547290858786112,6.959852187e-06,2384.802012,0.0765307257368,1325.69965042,-0.01959007222988744,-0.07242754935501836,-0.01508082047691284,0.04485700679693815,-0.2623321442330886,-0.01969554847738501,-0.2522814965188466,0.1243155011361247,0.04895356599912127,0.1651889239433575,-0.4927559500691732,-32.14690084691673,-0.01959007222988744,-0.07242754935501836,-0.01508082047691284,1320.322296598855,-119.2836792729699,-0.009350511999673496,-0.07411508301106125,-0.01662751867868944,-0.009350511999673492,-0.01964813695790963,-0.07231773594459408,-0.01552571298632997, 2095.734342,-10.78165449, 13.55483576,-10.78165449, 1505.011841, 3.979911679, 13.55483576, 3.979911679, 3150.438787,77.08074963,2479.999816,45.48951594243055,4.227419669058474,35.42701434714484,4.3049965463579,4.3049785754924,0.4104716451015537,0.2149193851459933,0.0002464822808046986,0.999991825724629,0.003582022852112937,0.001875520021399356,-4.567244368657457e-06,-0.341870000325718,0.6366455717597795,0.5841460270216349,0.3695683129690595,-0.3418780850478277,0.636632792627422,0.5841599543600255,0.3695608340145548,-142.41022031595,-71.153116330724,29.593977955574,29.759525980602,-95.163838904178,-1635561.815900774,-18107180.30303,10325659.94806977,-1636354.052181618,-18107108.72546965,10325659.94806977,0.0025068444793442,4.3049785754924,0,0.00300430193,0.999479828,1.5236864,34494357.8,87.307231,3.49,-2.79618961,1,0,-0.523,-0.523,-0.530164082,-0.174,0.348,0,-0.157710434,-0.394276085,-0.39624055,-0.39624055,-0.39624055,0,-1,0.0812776554,0,0.000246500437,-0.000246500437,0,-0.000246500437,-4.30143263e-06,-2.57259338e-06,-0.00716665429,0,0,0,-4.30497858,-1.95209279,-0.234167097,-0.24969281,0,0,0,-0,0,0,0.002,-0.39624055,-0.138287952,-0.138287952,0.103715964,0.103715964,-0.242003916,0,0,0,0,712.635,1.2957,1.29953,29.297,56.4366,-0.0200323,-0.0134485,1.06919,123.224,130,130,29.5939786148156507,-95.1638400085652592,20908474.4820312113,-0.960750813220712541
0.7,-1.035732100530351,0.2261785720484516,-0.005531641727610876,2.138223622395981,-0.1942272065622848,0.009987955097061093,-1.032096423117745,0.226167579689913,-0.007590289918538664,7.790535802e-06,2523.108803,0.0809691345834,1325.69425042,-0.01694434725346429,-0.07779764741618303,-0.01471108112419954,0.01511469117759645,0.1450047910566196,0.02032981018374172,0.1551682619445781,0.1102152931107011,0.001971689984751109,0.1490234345285184,-0.02697679926710378,-32.10702321691567,-0.01694434725346429,-0.07779764741618303,-0.01471108112419954,1320.317942867032,-119.2718545247228,-0.007291412129077079,-0.07933861023799059,-0.0144298645125191,-0.007291412129077089,-0.01700755491437033,-0.07771786069141551,-0.01505582812620756, 2095.734002,-10.78165423, 13.55483728,-10.78165423, 1505.011817, 3.979914243, 13.55483728, 3.979914243, 3150.438461,77.080746,2479.999699,45.48951582423184,4.227419868094031,35.42701321844769,4.3065610826015,4.306543106864,0.306228501730181,0.2391134272536581,359.999832648184,0.9999942522086501,0.002672341858083795,0.002086645427779281,-7.036677746297189e-06,-0.3414122025324423,0.6368753870582251,0.5837405527173483,0.3702356228601287,-0.341421651723831,0.6368604883894566,0.5837568071171951,0.3702269090798938,-139.03548691393,-73.910697085963,29.593977950631,29.75952597563,-95.163838928898,-1635429.784231393,-18107192.23079444,10325659.94727652,-1636354.060196894,-18107108.72701026,10325659.94727652,0.0029246518925683,4.306543106864,3.2625627812902e-09,6.28618239,0.999479772,1.5236864,34494357.8,87.3072309,3.49,-2.79618239,1,0,-0.523,-0.523,-0.528344696,-0.174,0.348,0,-0.1556707,-0.389176751,-0.388734021,-0.388734021,-0.388734021,0,-1,-0.0443686431,0,360.026351,-360.026351,360,-0.0263507372,-0.000459820365,-1.10795623e-05,-0.00535577518,0,0,0,-4.30654312,-2.17607681,-0.261035503,-0.276091332,0,0,0,-0,0,0,0.002,-0.388734021,-0.135668173,-0.135668173,0.10175113,0.10175113,-0.237419303,0,0,0,0,867.543,1.57735,1.29953,29.2878,54.6192,-0.0270259,-0.0148086,1.69173,154.206,130,130,29.5939786095684774,-95.1638400347717237,20908474.4830646105,-1.03209642311774452
0.8,-0.6400060408768677,0.206638530026071,-0.003700824546419795,5.599273988671913,-0.2427563175840914,0.02655892248427342,-0.6363695818365386,0.206630744047694,-0.005758106364996386,3.206396743e-06,1618.67977,0.051945086241,1325.72391298,-0.01547877458281957,-0.04810165940458865,-0.01203868284013998,0.01772596942782015,0.4132866152971547,0.02954630044004981,0.4233245677763885,0.09528631097547079,-0.0002229562857120494,0.1638586605569902,0.29101459151408,-32.09885658441911,-0.01547877458281957,-0.04810165940458865,-0.01203868284013998,1320.348647496422,-119.261655389048,-0.007454737989907175,-0.04950375876369034,-0.01385989662134825,-0.007454737989907173,-0.01553472287667699,-0.0480553963104719,-0.01215085409239223, 2095.733585, -10.7816539, 13.55483915, -10.7816539, 1505.011789, 3.979917387, 13.55483915, 3.979917387, 3150.438062,77.08074155,2479.999556,45.48951567919899,4.227420112315748,35.42701183350742,4.3079284392297,4.3079104527708,0.2178139077503221,0.2608744819458218,359.9994477512824,0.9999956021210411,0.001900789824563802,0.002276544082741494,-9.14650130498207e-06,-0.3410299924236225,0.6370658327402723,0.5833925773230482,0.3708082654780751,-0.3410408081846062,0.6370488158062113,0.5834111593041302,0.3707983180006419,-142.12585600759,-67.82112154431,29.593977946176,29.759525971148,-95.163838949425,-1635297.751126432,-18107204.15745716,10325659.94654029,-1636354.06686357,-18107108.72841195,10325659.94654029,0.0033424593057923,4.3079104527708,-3.2625627812924e-09,6.28617567,0.999479723,1.5236864,34494357.8,87.3072309,3.49,-2.79617567,1,0,-0.523,-0.523,-0.52680157,-0.174,0.348,0,-0.162040908,-0.405102269,-0.402893419,-0.402893419,-0.402893419,0,-1,-0.0132302353,0,360.025966,-360.025966,360,-0.025965812,-0.000453103419,-3.27902761e-05,-0.00383436012,0,0,0,-4.30791047,-2.37888706,-0.285363966,-0.29751482,0,0,0,-0,0,0,0.002,-0.402893419,-0.140609803,-0.140609803,0.105457353,0.105457353,-0.246067156,0,0,0,0,1005.62,1.82839,1.29953,29.3357,52.9309,-0.0199987,-0.0164152,2.4204,183.842,130,130,29.5939786048400499,-95.1638400565567224,20908474.4839862883,-0.636369581836538689
0.9,-0.03739290867617225,0.1763393407683077,-0.0007413626006034788,5.923451976453991,-0.3445923597053553,0.03021568543961376,-0.03375575413656678,0.1763328902791753,-0.002797419190465177,3.163274247e-07,508.4177778,0.0163156459241,1325.7691384,-0.01321551882875834,-0.002859083935531804,-0.009131046109599847,0.02553445748416999,0.447757116426979,0.03450763962140601,0.4584675019504025,0.09970973704519254,0.004510470835207619,0.1825537749404389,0.346237999357848,-32.0944606075313,-0.01321551882875834,-0.002859083935531804,-0.009131046109599847,1320.394900969044,-119.2523113680641,-0.007006695754757553,-0.00412004155172944,-0.01414679377567956,-0.007006695754757556,-0.01326010285719721,-0.0028300514985552,-0.009075284163672041, 2095.733094,-10.78165351, 13.55484135,-10.78165351, 1505.011755, 3.979921089, 13.55484135, 3.979921089, 3150.437592,77.0807363,2479.999387,45.48951550831643,4.22742040006595,35.42701020172445,4.3089878186584,4.3089698332139,0.1810322374146964,0.2802499511538565,359.9992754596594,0.9999957614873989,0.001579814379154803,0.002445626709425905,-1.018641103490614e-05,-0.3409233510188102,0.6371113369742917,0.5832171917949774,0.3711039210567798,-0.3409355284313679,0.6370921986405303,0.5832380979820881,0.3710927336217126,-145.35810165012,-10.092375752563,29.593977942218,29.759525967169,-95.163838957537,-1635165.713979063,-18107216.08315483,10325659.94580979,-1636354.069574815,-18107108.7298116,10325659.94580979,0.0037602667190164,4.3089698332139,-3.2625627812944e-09,6.28617266,0.999479684,1.5236864,34494357.8,87.3072309,3.49,-2.79617266,1,0,-0.523,-0.523,-0.526159609,-0.174,0.348,0,-0.172467997,-0.431169993,-0.428492175,-0.428492175,-0.428492175,0,-1,0.131935756,0,360.025794,-360.025794,360,-0.0257935077,-0.000450096709,-5.31960017e-05,-0.0032128046,0,0,0,-4.30896985,-2.56251258,-0.307391091,-0.316466375,0,0,0,-0,0,0,0.002,-0.428492175,-0.149543769,-0.149543769,0.112157827,0.112157827,-0.261701596,0,0,0,0,1127.63,2.05024,1.29953,29.3809,51.3181,-0.00141523,-0.0173339,3.23769,212.137,130,130,29.5939786006420178,-95.1638400651922325,20908474.4849056751,-0.0337557541365667846
